n_fila,oficio,identificador,titulo,emisor,receptor,fecha,url_documento,clave_unica
21,202399102902,2023-99-53-21,Invitación a terreno,Servicio de Evaluación Ambiental Dirección Ejecutiva,158 destinatarios,07/11/2023 19:41:18,https://seia.sea.gob.cl/documentos/documento.php?idDocumento=2160435179,2023-99-53-21|https://seia.sea.gob.cl/documentos/documento.php?idDocumento=2160435179
22,202399103654,2023-99-53-22,Invitación a terreno solo titular,Servicio de Evaluación Ambiental Dirección Ejecutiva,Conexión Kimal Lo Aguirre S.A,07/11/2023 19:47:18,https://seia.sea.gob.cl/documentos/documento.php?idDocumento=2160469039,2023-99-53-22|https://seia.sea.gob.cl/documentos/documento.php?idDocumento=2160469039
23,CNX-KILO-000-AA-CAR-I-0194,2023-99-53-23,Carta titular,Conexión Kimal Lo Aguirre S.A,Servicio de Evaluación Ambiental Dirección Ejecutiva,08/11/2023 13:24:36,https://seia.sea.gob.cl/archivos/2023/11/08/CNX-KILO-000-AA-CAR-I-0194.pdf,2023-99-53-23|https://seia.sea.gob.cl/archivos/2023/11/08/CNX-KILO-000-AA-CAR-I-0194.pdf
24,6232,2023-99-53-24,Oficio no participación en la evaluación,"SERNAGEOMIN, Región de Antofagasta",2 destinatarios,09/11/2023 12:04:18,https://seia.sea.gob.cl/documentos/documento.php?idDocumento=2160434434,2023-99-53-24|https://seia.sea.gob.cl/documentos/documento.php?idDocumento=2160434434
25,3676/2023,2023-99-53-25,Oficio no participación en la evaluación,"SERNAGEOMIN, Región de Coquimbo",Servicio de Evaluación Ambiental Dirección Ejecutiva,10/11/2023 12:28:07,https://seia.sea.gob.cl/documentos/documento.php?idDocumento=2160437493,2023-99-53-25|https://seia.sea.gob.cl/documentos/documento.php?idDocumento=2160437493
26,2023991063856,2023-99-53-26,Acta de reunión solo titular,Servicio de Evaluación Ambiental Dirección Ejecutiva,Conexión Kimal Lo Aguirre S.A,10/11/2023 15:36:03,https://seia.sea.gob.cl/documentos/documento.php?idDocumento=2160492762,2023-99-53-26|https://seia.sea.gob.cl/documentos/documento.php?idDocumento=2160492762
27,2023991063861,2023-99-53-27,Acta de reunión,Servicio de Evaluación Ambiental Dirección Ejecutiva,158 destinatarios,10/11/2023 15:34:47,https://seia.sea.gob.cl/documentos/documento.php?idDocumento=2160477028,2023-99-53-27|https://seia.sea.gob.cl/documentos/documento.php?idDocumento=2160477028
28,CNX-KILO-000-AA-CAR-I-0193,2023-99-53-28,Carta titular,Conexión Kimal Lo Aguirre S.A,Servicio de Evaluación Ambiental Dirección Ejecutiva,10/11/2023 17:50:24,https://seia.sea.gob.cl/archivos/2023/11/10/Carta_Titular_CNX-KILO-000-AA-CAR-I-0193.pdf,2023-99-53-28|https://seia.sea.gob.cl/archivos/2023/11/10/Carta_Titular_CNX-KILO-000-AA-CAR-I-0193.pdf
29,202399103660,2023-99-53-29,Carta de respuesta,Servicio de Evaluación Ambiental Dirección Ejecutiva,Conexión Kimal Lo Aguirre S.A,10/11/2023 17:55:51,https://seia.sea.gob.cl/archivos/2023/11/10/Carta_Respuesta_N_202399103660.pdf,2023-99-53-29|https://seia.sea.gob.cl/archivos/2023/11/10/Carta_Respuesta_N_202399103660.pdf
30,3681/2023,2023-99-53-30,Visación de acta de reunión,"SERNAGEOMIN, Región de Coquimbo",2 destinatarios,13/11/2023 11:11:30,https://seia.sea.gob.cl/documentos/documento.php?idDocumento=2160507310,2023-99-53-30|https://seia.sea.gob.cl/documentos/documento.php?idDocumento=2160507310
31,2486,2023-99-53-31,Visación de acta de reunión,"SERNAGEOMIN, Zona Central",Servicio de Evaluación Ambiental Dirección Ejecutiva,13/11/2023 11:48:08,https://seia.sea.gob.cl/documentos/documento.php?idDocumento=2160508705,2023-99-53-31|https://seia.sea.gob.cl/documentos/documento.php?idDocumento=2160508705
32,1-VR/2023,2023-99-53-32,Visación de acta de reunión,"CONAF, Región de Antofagasta",2 destinatarios,13/11/2023 13:28:51,https://seia.sea.gob.cl/documentos/documento.php?idDocumento=2160508787,2023-99-53-32|https://seia.sea.gob.cl/documentos/documento.php?idDocumento=2160508787
33,407,2023-99-53-33,Visación de acta de reunión,"SEREMI de Agricultura, Región de Valparaíso",Servicio de Evaluación Ambiental Dirección Ejecutiva,13/11/2023 15:43:49,https://seia.sea.gob.cl/documentos/documento.php?idDocumento=2160512648,2023-99-53-33|https://seia.sea.gob.cl/documentos/documento.php?idDocumento=2160512648
34,0375,2023-99-53-34,Oficio no participación en la evaluación,"SEREMI Medio Ambiente, Región de Atacama",Servicio de Evaluación Ambiental Dirección Ejecutiva,13/11/2023 15:50:31,https://seia.sea.gob.cl/archivos/2023/11/13/ea8_ORD_375_MMA_ATACAMA.pdf,2023-99-53-34|https://seia.sea.gob.cl/archivos/2023/11/13/ea8_ORD_375_MMA_ATACAMA.pdf
35,5795,2023-99-53-35,Visación de acta de reunión,"SERNAGEOMIN, Región de Atacama",Servicio de Evaluación Ambiental Dirección Ejecutiva,13/11/2023 16:00:45,https://seia.sea.gob.cl/documentos/documento.php?idDocumento=2160512765,2023-99-53-35|https://seia.sea.gob.cl/documentos/documento.php?idDocumento=2160512765
36,0612 (PROCESO N° 17524852),2023-99-53-36,Visación de acta de reunión,"DOH, Región de Antofagasta",5 destinatarios,13/11/2023 17:14:30,https://seia.sea.gob.cl/documentos/documento.php?idDocumento=2160508762,2023-99-53-36|https://seia.sea.gob.cl/documentos/documento.php?idDocumento=2160508762
37,009,2023-99-53-37,Visación de acta de reunión,"SEREMI de Salud, Región de Valparaíso",Servicio de Evaluación Ambiental Dirección Ejecutiva,13/11/2023 17:50:25,https://seia.sea.gob.cl/documentos/documento.php?idDocumento=2160512874,2023-99-53-37|https://seia.sea.gob.cl/documentos/documento.php?idDocumento=2160512874
38,140-EA/2023.,2023-99-53-38,Visación de acta de reunión,"Corporación Nacional Forestal, Región de Valparaíso",Servicio de Evaluación Ambiental Dirección Ejecutiva,13/11/2023 17:52:29,https://seia.sea.gob.cl/documentos/documento.php?idDocumento=2160515696,2023-99-53-38|https://seia.sea.gob.cl/documentos/documento.php?idDocumento=2160515696
39,670,2023-99-53-39,Visación de acta de reunión,"SEREMI del Medio Ambiente, Región de Valparaíso",Servicio de Evaluación Ambiental Dirección Ejecutiva,13/11/2023 17:55:25,https://seia.sea.gob.cl/documentos/documento.php?idDocumento=2160512241,2023-99-53-39|https://seia.sea.gob.cl/documentos/documento.php?idDocumento=2160512241
40,141-EA/2023.,2023-99-53-40,Oficio no participación en la evaluación,"Corporación Nacional Forestal, Región de Valparaíso",Servicio de Evaluación Ambiental Dirección Ejecutiva,13/11/2023 18:00:33,https://seia.sea.gob.cl/documentos/documento.php?idDocumento=2160515774,2023-99-53-40|https://seia.sea.gob.cl/documentos/documento.php?idDocumento=2160515774
41,3388,2023-99-53-41,Visación de acta de reunión,"SEREMI de Salud, Región Metropolitana de Santiago",Servicio de Evaluación Ambiental Dirección Ejecutiva,13/11/2023 18:12:22,https://seia.sea.gob.cl/documentos/documento.php?idDocumento=2160512914,2023-99-53-41|https://seia.sea.gob.cl/documentos/documento.php?idDocumento=2160512914
42,61/2023,2023-99-53-42,Visación de acta de reunión,"SEREMI de Energía, Región de Atacama",Servicio de Evaluación Ambiental Dirección Ejecutiva,13/11/2023 18:27:14,https://seia.sea.gob.cl/archivos/2023/11/14/9d1_ID_202399303658_OF_61_MINISTERIO_DE_ENERGIA_REGON_DE_ATACAMA_RTE._VISACION_DEL_ACTA_DE_REUNION_PROYECTO_KIMAL-LO_AGUIRRE.pdf,2023-99-53-42|https://seia.sea.gob.cl/archivos/2023/11/14/9d1_ID_202399303658_OF_61_MINISTERIO_DE_ENERGIA_REGON_DE_ATACAMA_RTE._VISACION_DEL_ACTA_DE_REUNION_PROYECTO_KIMAL-LO_AGUIRRE.pdf
43,122/2023,2023-99-53-43,Visación de acta de reunión,"SEREMI de Energía, Región Metropolitana de Santiago",Servicio de Evaluación Ambiental Dirección Ejecutiva,13/11/2023 18:39:20,https://seia.sea.gob.cl/documentos/documento.php?idDocumento=2160508433,2023-99-53-43|https://seia.sea.gob.cl/documentos/documento.php?idDocumento=2160508433
44,883,2023-99-53-44,Visación de acta de reunión,"SEREMI Medio Ambiente, Región Metropolitana de Santiago",Servicio de Evaluación Ambiental Dirección Ejecutiva,13/11/2023 18:55:18,https://seia.sea.gob.cl/documentos/documento.php?idDocumento=2160508561,2023-99-53-44|https://seia.sea.gob.cl/documentos/documento.php?idDocumento=2160508561
45,675,2023-99-53-45,Oficio pronunciamiento con observaciones al EIA,"SEREMI MOP, Región de Antofagasta",7 destinatarios,13/11/2023 19:06:46,https://seia.sea.gob.cl/documentos/documento.php?idDocumento=2160510367,2023-99-53-45|https://seia.sea.gob.cl/documentos/documento.php?idDocumento=2160510367
46,673,2023-99-53-46,Visación de acta de reunión,"SEREMI MOP, Región de Antofagasta",7 destinatarios,13/11/2023 19:07:45,https://seia.sea.gob.cl/documentos/documento.php?idDocumento=2160507534,2023-99-53-46|https://seia.sea.gob.cl/documentos/documento.php?idDocumento=2160507534
47,2023990027,2023-99-53-47,Oficio envío de EIA a participación ciudadana,Servicio de Evaluación Ambiental Dirección Ejecutiva,46 destinatarios,13/11/2023 20:04:04,https://seia.sea.gob.cl/documentos/documento.php?idDocumento=2160415339,2023-99-53-47|https://seia.sea.gob.cl/documentos/documento.php?idDocumento=2160415339
48,114-EA/2023,2023-99-53-48,Visación de acta de reunión,"CONAF, Región Metropolitana de Santiago",Servicio de Evaluación Ambiental Dirección Ejecutiva,14/11/2023 09:22:21,https://seia.sea.gob.cl/documentos/documento.php?idDocumento=2160516217,2023-99-53-48|https://seia.sea.gob.cl/documentos/documento.php?idDocumento=2160516217
49,3573,2023-99-53-49,Visación de acta de reunión,"SEREMI de Bienes Nacionales, Región de Valparaíso",Servicio de Evaluación Ambiental Dirección Ejecutiva,14/11/2023 09:36:36,https://seia.sea.gob.cl/documentos/documento.php?idDocumento=2160517387,2023-99-53-49|https://seia.sea.gob.cl/documentos/documento.php?idDocumento=2160517387
50,3575,2023-99-53-50,Oficio pronunciamiento con observaciones al EIA,"SEREMI de Bienes Nacionales, Región de Valparaíso",Servicio de Evaluación Ambiental Dirección Ejecutiva,14/11/2023 09:37:07,https://seia.sea.gob.cl/documentos/documento.php?idDocumento=2160517440,2023-99-53-50|https://seia.sea.gob.cl/documentos/documento.php?idDocumento=2160517440
51,6543,2023-99-53-51,Visación de acta de reunión,"SERNAGEOMIN, Región de Antofagasta",2 destinatarios,14/11/2023 10:50:17,https://seia.sea.gob.cl/documentos/documento.php?idDocumento=2160517985,2023-99-53-51|https://seia.sea.gob.cl/documentos/documento.php?idDocumento=2160517985
52,90,2023-99-53-52,Visación de acta de reunión,"Servicio Nacional Turismo, Región de Atacama",Servicio de Evaluación Ambiental Dirección Ejecutiva,14/11/2023 11:24:38,https://seia.sea.gob.cl/archivos/2023/11/14/dfe_ID_202399303659_OF_90_SERNATUR_REGION_DE_ATACAMA_RTE._ACTA_DE_REUNION_DE_LINEA_DE_TRANSMISION_ELECTRICA_HVDC_KIMAL_-_LO_AGUIRRE.pdf,2023-99-53-52|https://seia.sea.gob.cl/archivos/2023/11/14/dfe_ID_202399303659_OF_90_SERNATUR_REGION_DE_ATACAMA_RTE._ACTA_DE_REUNION_DE_LINEA_DE_TRANSMISION_ELECTRICA_HVDC_KIMAL_-_LO_AGUIRRE.pdf
53,372,2023-99-53-53,Visación de acta de reunión,"SEREMI Medio Ambiente, Región de Antofagasta",Servicio de Evaluación Ambiental Dirección Ejecutiva,14/11/2023 11:38:00,https://seia.sea.gob.cl/documentos/documento.php?idDocumento=2160517911,2023-99-53-53|https://seia.sea.gob.cl/documentos/documento.php?idDocumento=2160517911
54,373,2023-99-53-54,Oficio no participación en la evaluación,"SEREMI Medio Ambiente, Región de Antofagasta",Servicio de Evaluación Ambiental Dirección Ejecutiva,14/11/2023 11:38:30,https://seia.sea.gob.cl/documentos/documento.php?idDocumento=2160517953,2023-99-53-54|https://seia.sea.gob.cl/documentos/documento.php?idDocumento=2160517953
55,1067,2023-99-53-55,Oficio no participación en la evaluación,"Dirección General de Aguas, Región de Valparaíso",3 destinatarios,14/11/2023 16:44:13,https://seia.sea.gob.cl/documentos/documento.php?idDocumento=2160513398,2023-99-53-55|https://seia.sea.gob.cl/documentos/documento.php?idDocumento=2160513398
56,1309,2023-99-53-56,Visación de acta de reunión,"SEREMI MOP, Región de Coquimbo",Servicio de Evaluación Ambiental Dirección Ejecutiva,14/11/2023 18:29:05,https://seia.sea.gob.cl/archivos/2023/11/14/ID_202399303661_ORD_1309_SEREMI_MOP_REGION_DE_COQUIMBO_RTE._VISA_CONFORME_ACTA_DE_REUNION_SOBRE_LINEA_DE_TRANSM_ELECTRICA_HVDC_KIMAL_-_LO_AGUIRRE.pdf,2023-99-53-56|https://seia.sea.gob.cl/archivos/2023/11/14/ID_202399303661_ORD_1309_SEREMI_MOP_REGION_DE_COQUIMBO_RTE._VISA_CONFORME_ACTA_DE_REUNION_SOBRE_LINEA_DE_TRANSM_ELECTRICA_HVDC_KIMAL_-_LO_AGUIRRE.pdf
57,363,2023-99-53-57,Visación de acta de reunión,"SEREMI de Agricultura, Región Metropolitana de Santiago",Servicio de Evaluación Ambiental Dirección Ejecutiva,14/11/2023 19:09:20,https://seia.sea.gob.cl/archivos/2023/11/14/ID_202399303663_ORD_363_SEREMI_DE_AGRICULTURA_R.M._RTE._VISACION_DEL_ACTA_DE_REUNION_SOBRE_LINEA_DE_TRANSM_ELECTRICA_HVDC_KIMAL_-_LO_AGUIRRE.pdf,2023-99-53-57|https://seia.sea.gob.cl/archivos/2023/11/14/ID_202399303663_ORD_363_SEREMI_DE_AGRICULTURA_R.M._RTE._VISACION_DEL_ACTA_DE_REUNION_SOBRE_LINEA_DE_TRANSM_ELECTRICA_HVDC_KIMAL_-_LO_AGUIRRE.pdf
58,388,2023-99-53-58,Oficio no participación en la evaluación,"SAG, Región de Antofagasta",Servicio de Evaluación Ambiental Dirección Ejecutiva,15/11/2023 10:40:02,https://seia.sea.gob.cl/documentos/documento.php?idDocumento=2160521952,2023-99-53-58|https://seia.sea.gob.cl/documentos/documento.php?idDocumento=2160521952
59,1598,2023-99-53-59,Visación de acta de reunión,"SAG, Región Metropolitana de Santiago",Servicio de Evaluación Ambiental Dirección Ejecutiva,15/11/2023 12:43:17,https://seia.sea.gob.cl/documentos/documento.php?idDocumento=2160507416,2023-99-53-59|https://seia.sea.gob.cl/documentos/documento.php?idDocumento=2160507416
60,547,2023-99-53-60,Visación de acta de reunión,"SEREMI de Obras Públicas, Región de Valparaíso",4 destinatarios,15/11/2023 15:00:34,https://seia.sea.gob.cl/documentos/documento.php?idDocumento=2160517389,2023-99-53-60|https://seia.sea.gob.cl/documentos/documento.php?idDocumento=2160517389
61,022- 2023 SEIA,2023-99-53-61,Visación de acta de reunión,Servicio Nacional Turismo,Servicio de Evaluación Ambiental Dirección Ejecutiva,15/11/2023 17:08:17,https://seia.sea.gob.cl/documentos/documento.php?idDocumento=2160508847,2023-99-53-61|https://seia.sea.gob.cl/documentos/documento.php?idDocumento=2160508847
62,3153,2023-99-53-62,Visación de acta de reunión,"Servicio Agrícola y Ganadero, Región de Valparaíso",Servicio de Evaluación Ambiental Dirección Ejecutiva,15/11/2023 18:15:52,https://seia.sea.gob.cl/documentos/documento.php?idDocumento=2160528122,2023-99-53-62|https://seia.sea.gob.cl/documentos/documento.php?idDocumento=2160528122
63,116-EA/2023,2023-99-53-63,Oficio no participación en la evaluación,"CONAF, Región Metropolitana de Santiago",Servicio de Evaluación Ambiental Dirección Ejecutiva,15/11/2023 18:25:15,https://seia.sea.gob.cl/documentos/documento.php?idDocumento=2160529483,2023-99-53-63|https://seia.sea.gob.cl/documentos/documento.php?idDocumento=2160529483
64,085,2023-99-53-64,Visación de acta de reunión,"SEREMI de Agricultura, Región de Atacama",Servicio de Evaluación Ambiental Dirección Ejecutiva,15/11/2023 19:06:52,https://seia.sea.gob.cl/archivos/2023/11/16/66c_ORD._85_SEREMI_AGRICULTURA_ATACAMA-ACTA_REUNION_LINEA_TRANSMISION_ELECTRICA_HVDC_KIMAL-LO_AGUIRRE.pdf,2023-99-53-64|https://seia.sea.gob.cl/archivos/2023/11/16/66c_ORD._85_SEREMI_AGRICULTURA_ATACAMA-ACTA_REUNION_LINEA_TRANSMISION_ELECTRICA_HVDC_KIMAL-LO_AGUIRRE.pdf
65,1161,2023-99-53-65,Oficio no participación en la evaluación,"DGA, Región Metropolitana de Santiago",Servicio de Evaluación Ambiental Dirección Ejecutiva,15/11/2023 20:38:16,https://seia.sea.gob.cl/archivos/2023/11/16/ID_2023133031300_ORD_1161_DGA_R.M._SE_PRONUNCIA_SOBRE_PROYECTO_LINEA_DE_TRANSMISION_ELECTRICA_HVDC_KIMAL_-_LO_AGUIRRE.pdf,2023-99-53-65|https://seia.sea.gob.cl/archivos/2023/11/16/ID_2023133031300_ORD_1161_DGA_R.M._SE_PRONUNCIA_SOBRE_PROYECTO_LINEA_DE_TRANSMISION_ELECTRICA_HVDC_KIMAL_-_LO_AGUIRRE.pdf
66,427,2023-99-53-66,Visación de acta de reunión,"SEREMI MOP, Región de Atacama",Servicio de Evaluación Ambiental Dirección Ejecutiva,15/11/2023 21:34:38,https://seia.sea.gob.cl/archivos/2023/11/21/c89_ID_202399303693_ORD_427_MOP_ATACAMA.pdf,2023-99-53-66|https://seia.sea.gob.cl/archivos/2023/11/21/c89_ID_202399303693_ORD_427_MOP_ATACAMA.pdf
67,358,2023-99-53-67,Oficio no participación en la evaluación,Superintendencia de Servicios Sanitarios,Servicio de Evaluación Ambiental Dirección Ejecutiva,15/11/2023 22:33:41,https://seia.sea.gob.cl/documentos/documento.php?idDocumento=2160524532,2023-99-53-67|https://seia.sea.gob.cl/documentos/documento.php?idDocumento=2160524532
68,357,2023-99-53-68,Visación de acta de reunión,Superintendencia de Servicios Sanitarios,Servicio de Evaluación Ambiental Dirección Ejecutiva,15/11/2023 22:39:34,https://seia.sea.gob.cl/documentos/documento.php?idDocumento=2160508439,2023-99-53-68|https://seia.sea.gob.cl/documentos/documento.php?idDocumento=2160508439
69,,2023-99-53-69,Publicación extracto en diario oficial,Servicio de Evaluación Ambiental Dirección Ejecutiva,,16/11/2023 09:31:05,https://seia.sea.gob.cl/archivos/2023/11/15/c47_Publicacion_D.O_KLA.pdf,2023-99-53-69|https://seia.sea.gob.cl/archivos/2023/11/15/c47_Publicacion_D.O_KLA.pdf
70,,2023-99-53-70,Publicación en diario Las Últimas Noticias,Servicio de Evaluación Ambiental Dirección Ejecutiva,,16/11/2023 09:55:47,https://seia.sea.gob.cl/archivos/2023/11/16/9a6_DCN_KIMAL.pdf,2023-99-53-70|https://seia.sea.gob.cl/archivos/2023/11/16/9a6_DCN_KIMAL.pdf
71,32986,2023-99-53-71,Visación de acta de reunión,"División de Normas, Ministerio de Transporte y Telecomunicaciones",4 destinatarios,16/11/2023 11:22:45,https://seia.sea.gob.cl/documentos/documento.php?idDocumento=2160530655,2023-99-53-71|https://seia.sea.gob.cl/documentos/documento.php?idDocumento=2160530655
72,417,2023-99-53-72,Visación de acta de reunión,"DGA, Región de Antofagasta",Servicio de Evaluación Ambiental Dirección Ejecutiva,17/11/2023 08:34:57,https://seia.sea.gob.cl/documentos/documento.php?idDocumento=2160540011,2023-99-53-72|https://seia.sea.gob.cl/documentos/documento.php?idDocumento=2160540011
73,200521,2023-99-53-73,Oficio no participación en la evaluación,"SEC, Región de Atacama",Servicio de Evaluación Ambiental Dirección Ejecutiva,17/11/2023 10:09:10,https://seia.sea.gob.cl/documentos/documento.php?idDocumento=2160554729,2023-99-53-73|https://seia.sea.gob.cl/documentos/documento.php?idDocumento=2160554729
74,118,2023-99-53-74,Visación de acta de reunión,"SEREMI de Energía, Región de Valparaíso",Servicio de Evaluación Ambiental Dirección Ejecutiva,17/11/2023 12:33:00,https://seia.sea.gob.cl/documentos/documento.php?idDocumento=2160507567,2023-99-53-74|https://seia.sea.gob.cl/documentos/documento.php?idDocumento=2160507567
75,245,2023-99-53-75,Visación de acta de reunión,"SEREMI Medio Ambiente, Región de Coquimbo",Servicio de Evaluación Ambiental Dirección Ejecutiva,17/11/2023 13:55:53,https://seia.sea.gob.cl/documentos/documento.php?idDocumento=2160557064,2023-99-53-75|https://seia.sea.gob.cl/documentos/documento.php?idDocumento=2160557064
76,630/2023,2023-99-53-76,Oficio no participación en la evaluación,"SAG, Región de Atacama",Servicio de Evaluación Ambiental Dirección Ejecutiva,17/11/2023 16:06:00,https://seia.sea.gob.cl/documentos/documento.php?idDocumento=2160558132,2023-99-53-76|https://seia.sea.gob.cl/documentos/documento.php?idDocumento=2160558132
77,61,2023-99-53-77,Visación de acta de reunión,"SEREMI de Energía, Región de Atacama",Servicio de Evaluación Ambiental Dirección Ejecutiva,17/11/2023 16:33:17,https://seia.sea.gob.cl/documentos/documento.php?idDocumento=2160507660,2023-99-53-77|https://seia.sea.gob.cl/documentos/documento.php?idDocumento=2160507660
78,10954,2023-99-53-78,Oficio no participación en la evaluación,Superintendencia de Electricidad y Combustibles,3 destinatarios,20/11/2023 08:58:23,https://seia.sea.gob.cl/documentos/documento.php?idDocumento=2160560592,2023-99-53-78|https://seia.sea.gob.cl/documentos/documento.php?idDocumento=2160560592
